Bmax=2.10894149e+000, tpl=35, l=2, d=3, Imax=4.011648e+03, Vtot=900, Ctot=11.00000000000000000000, w szeregu=2, il. galezi=1, nazwa=obecny
Bmax=5.66650070e+000, tpl=35, l=2, d=3, Imax=1.077887e+04, Vtot=4500, Ctot=2.20000000000000000000, w szeregu=10, il. galezi=1, nazwa=obecny
Bmax=5.80922422e+000, tpl=35, l=2, d=3, Imax=1.105036e+04, Vtot=1000, Ctot=1000.00000000000000000000, w szeregu=10, il. galezi=1, nazwa=obecny
Bmax=2.26240095e+000, tpl=35, l=2, d=3, Imax=4.303560e+03, Vtot=1000, Ctot=10.00000000000000000000, w szeregu=10, il. galezi=1, nazwa=obecny
Bmax=2.95259053e+000, tpl=35, l=2, d=3, Imax=5.616445e+03, Vtot=10000, Ctot=.10000000000000000000, w szeregu=10, il. galezi=1, nazwa=obecny
Bmax=1.28588220e+000, tpl=35, l=2, d=3, Imax=2.446017e+03, Vtot=2000, Ctot=.50000000000000000000, w szeregu=2, il. galezi=1, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=2.10894149e+000, tpl=35, l=2, d=3, Imax=4.011648e+03, Vtot=900, Ctot=11.00000000000000000000, w szeregu=2, il. galezi=1, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=2.10894149e+000, tpl=35, l=2, d=3, Imax=4.011648e+03, Vtot=900, Ctot=11.00000000000000000000, w szeregu=2, il. galezi=1, nazwa=obecny
Bmax=1.00495779e+001, tpl=35, l=2, d=3, Imax=1.911640e+04, Vtot=900, Ctot=11.00000000000000000000, w szeregu=2, il. galezi=1, nazwa=obecny
Bmax=2.33647535e+001, tpl=35, l=2, d=3, Imax=4.444465e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=2.33647535e+001, tpl=35, l=2, d=3, Imax=4.444465e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.25704522e-004, tpl=35, l=2, d=3, Imax=, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.25704522e-004, tpl=35, l=2, d=3, Imax=, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.25704522e-004, tpl=35, l=2, d=3, Imax=, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.25704522e-004, tpl=35, l=2, d=3, Imax=, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
Bmax=5.28954427e+000, tpl=35, l=2, d=3, Imax=1.006182e+04, Vtot=1800, Ctot=22.00000000000000000000, w szeregu=4, il. galezi=4, nazwa=obecny
